Black Hole ,Type,Mass,Mass Error +,Mass Error -,Spin ,Spin Error +,Spin Error -,Confidence Level Mass,Confidence Level Spin,Source ,Method,Reference
GW150914 (Primary),Solar,35.8,5.3,3.9,0.32,0.49,0.29,90,90,,Averaged posteriours from EOBNR and IMRPhonom waveform models,
GW150914 (Secondary),Solar,29.1,3.8,4.3,0.44,0.5,0.4,90,90,,Averaged posteriours from EOBNR and IMRPhonom waveform models,
GW150914 (Final),Solar,62,4.1,3.7,0.67,0.05,0.07,90,90,,Averaged posteriours from EOBNR and IMRPhonom waveform models,
LVT1510 (Primary),Solar,28,21,7,0.31,0.48,0.28,90,90,,Averaged posteriours from EOBNR and IMRPhonom waveform models,
LVT1510 (Secondary),Solar,16,5,6,0.45,0.48,0.41,90,90,,Averaged posteriours from EOBNR and IMRPhonom waveform models,
LVT1510 (Final),Solar,42,16,3,0.66,0.09,0.1,90,90,,Averaged posteriours from EOBNR and IMRPhonom waveform models,
GW151226 (Primary),Solar,14.2,8.3,3.7,0.49,0.37,0.42,90,90,,Averaged posteriours from EOBNR and IMRPhonom waveform models,
GW151226 (Secondary),Solar,7.5,2.3,2.3,0.52,0.43,0.47,90,90,,Averaged posteriours from EOBNR and IMRPhonom waveform models,
GW151226 (Final),Solar,20.8,6.1,1.7,0.74,0.06,0.06,90,90,,Averaged posteriours from EOBNR and IMRPhonom waveform models,
GW170104 (Primary),Solar,31.2,8.4,6,0.45,0.46,0.4,90,90,,Averaged posteriours from effective Precession and Full Precession waveform models,
GW170104  (Secondary),Solar,19.4,5.3,5.9,0.47,0.46,0.43,90,90,,Averaged posteriours from effective Precession and Full Precession waveform models,
GW170104  (Final),Solar,48.7,5.7,4.6,0.64,0.09,0.2,90,90,,Averaged posteriours from effective Precession and Full Precession waveform models,
GW170608 (Final),Solar,18,4.8,0.9,0.69,0.04,0.05,90,90,,,
GW170814 (Final),Solar,53.2,3.2,2.5,0.7,0.07,0.05,90,90,,,
Cygnus X-1,Solar,14.8,1,1,0.983,0.027,0,,99.7,,Continuum Fitting (KERRBB2),http://iopscience.iop.org/article/10.1088/0004-637X/742/2/84/pdf (mass)  https://arxiv.org/pdf/1308.4760.pdf (Spin)
Cygnus X-1,Solar,14.8,1,1,0.97,0.014,0.02,,90,,Reflection Fitting,https://arxiv.org/pdf/1204.5854.pdf (Spin)
XTE J1550-564,Solar,9.1,0.61,0.61,0.34,0.37,0.34,,90,,Continuum Fitting (KERRBB2),http://iopscience.iop.org/article/10.1086/338984/pdf (Mass) https://arxiv.org/pdf/0902.2840.pdf (Spin)
XTE J1550-564,Solar,9.1,0.61,0.61,0.55,0.22,0.22,,90,,Reflection Fitting,https://arxiv.org/pdf/1010.1013.pdf (Spin)
A 0620-00,Solar,6.61,0.25,0.25,0.12,0.19,0.19,,1 sigma,,Continuum Fitting (KERRBB2),http://iopscience.iop.org/article/10.1088/0004-637X/710/2/1127 (mass )https://arxiv.org/abs/1002.2211 (Spin)
4U 1543-475,Solar,9.4,1,1,0.8,0.1,0.1,,,,Continuum Fitting (KERRBB),https://arxiv.org/pdf/astro-ph/0308363.pdf (mass) http://iopscience.iop.org/article/10.1088/0004-637X/697/1/900/pdf (Spin)
4U 1543-475,Solar ,9.4,1,1,0.3,0.1,0.1,,,,Reflection Fitting,http://iopscience.iop.org/article/10.1088/0004-637X/697/1/900/pdf (Spin)
GRO J1655-40,Solar ,6.3,0.27,0.27,0.7,0.1,0.1,,,,Continuum Fitting (KERRBB),http://iopscience.iop.org/article/10.1088/0004-637X/697/1/900/pdf (Spin)
GRO J1655-40,Solar,6.3,0.27,0.27,0.98,0.1,0.1,,,,Reflection Fitting,http://iopscience.iop.org/article/10.1086/498938/pdf (Spin)
GRS 1915+105,Solar,14,4.4,4.4,0.95,0.05,0,,,,Continuum Fitting (KERRBB2),https://www.aanda.org/articles/aa/abs/2004/05/aafi291/aafi291.html (Mass) http://iopscience.iop.org/article/10.1086/508457/pdf (Spin)
GRS 1915+105,Solar,14,4.4,4.4,0.98,0.01,0.01,,,,Reflection Fitting,http://iopscience.iop.org/article/10.1088/2041-8205/775/2/L45/pdf (Spin)
LMC X-1,Solar,10.91,1.54,1.54,0.92,0.05,0.07,,1 sigma,,Continuum Fitting (KERRBB2),http://iopscience.iop.org/article/10.1088/0004-637X/701/2/1076/pdf (Mass) https://arxiv.org/pdf/1209.3269.pdf (Spin)
LMC X-1,Solar,10.91,1.54,1.54,0.97,0.02,0.13,,,,Reflection Fitting,http://iopscience.iop.org/article/10.1088/0004-637X/701/2/1076/pdf (Spin)
LMC X-3,Solar,6.95,0.33,0.33,0.25,0.2,0.29,,90,,Continuum Fitting (KERRBB2),https://arxiv.org/abs/1402.0085 (Mass) https://arxiv.org/abs/1402.0148 (Spin)
M33 X-7,Solar,15.65,1.45,1.45,0.84,0.05,0.05,,1 Sigma,,Continuum Fitting (KERRBB),https://arxiv.org/pdf/0710.3165.pdf (mass) https://arxiv.org/abs/0803.1834 (Spin)
Mrk335,Supermassive,14.2,3.7,3.7,0.83,0.09,0.13,1 sigma,90,S0a,Suzaku,https://arxiv.org/pdf/1302.3260.pdf
Fairall 9,Supermassive,255,56,56,0.52,0.19,0.15,1 sigma,90,Sc,Suzaku,
Ark120,Supermassive,150,19,19,0.64,0.19,0.11,1 sigma,90,,Suzaku,
Mrk79,Supermassive,52.4,14.4,14.4,0.7,0.1,0.1,1 sigma,90,SBb,Suzaku,
Mrk110,Supermassive,25.1,6.1,6.1,0.89,0.11,0,1 sigma,90,,Suzaku,
NGC3783 ,Supermassive,29.8,5.4,5.4,0.98,0.02,0,1 sigma,90,SB(r)ab,Suzaku,
NGC4051,Supermassive,1.91,0.78,0.78,0.99,0.01,0,1 sigma,90,,Suzaku,
MCGÐ6-30-15 ,Supermassive,2.9,1.8,1.6,0.98,0.02,0,1 sigma,90,E/S0,XMM-Newton & Suzaku,
SWIFT J2127.4+5654,Supermassive,7.18,0.07,0.07,0.6,0.2,0.2,1 Sigma,90,,Suzaku,
1H0707Ð495,Supermassive,6.7,0.4,0.4,0.98,0.02,0,1 sigma,90,,XMM-Newton,
NGC 7469,Supermassive,7.09,0.06,0.06,0.69,0.09,0.09,1 Sigma,90,SAB(rs)a,Suzaku,
Ark564,Supermassive,1.1,0.55,0.55,0.96,0.01,0.11,1 sigma,90,,,
